ts,endpoint,code,ms
07:35:30,/health,200,218
07:35:31,/cursos,200,130
07:35:31,/health,200,61
07:35:31,/cursos,200,65
07:35:32,/health,200,75
07:35:32,/cursos,200,63
07:35:33,/health,200,59
07:35:33,/cursos,200,67
07:35:34,/health,200,59
07:35:34,/cursos,200,62
07:35:35,/health,200,58
07:35:35,/cursos,200,63
07:35:35,/health,200,60
07:35:36,/cursos,200,72
07:35:36,/health,200,59
07:35:36,/cursos,200,61
07:35:37,/health,200,60
07:35:37,/cursos,200,61
07:35:38,/health,200,61
07:35:38,/cursos,200,60
07:35:39,/health,200,60
07:35:39,/cursos,200,62
07:35:40,/health,200,60
07:35:40,/cursos,200,61
07:35:40,/health,200,65
07:35:41,/cursos,200,61
07:35:41,/health,200,61
07:35:41,/cursos,200,68
07:35:42,/health,200,60
07:35:42,/cursos,200,61
07:35:43,/health,200,58
07:35:43,/cursos,200,61
07:35:44,/health,200,58
07:35:44,/cursos,200,59
07:35:45,/health,200,63
07:35:45,/cursos,200,61
07:35:46,/health,200,58
07:35:46,/cursos,200,59
07:35:46,/health,200,61
07:35:46,/cursos,200,63
07:35:47,/health,200,62
07:35:47,/cursos,200,61
07:35:48,/health,200,60
07:35:48,/cursos,200,59
07:35:49,/health,200,60
07:35:49,/cursos,200,67
07:35:50,/health,200,62
07:35:50,/cursos,200,62
07:35:51,/health,200,58
07:35:51,/cursos,200,60
07:35:51,/health,200,59
07:35:51,/cursos,200,60
07:35:52,/health,200,64
07:35:52,/cursos,200,64
07:35:53,/health,200,58
07:35:53,/cursos,200,59
07:35:54,/health,200,58
07:35:54,/cursos,200,64
07:35:55,/health,200,57
07:35:55,/cursos,200,60
07:35:56,/health,200,60
07:35:56,/cursos,200,60
07:35:56,/health,200,62
07:35:56,/cursos,200,61
07:35:57,/health,200,60
07:35:57,/cursos,200,61
07:35:58,/health,200,59
07:35:58,/cursos,200,61
07:35:59,/health,200,60
07:35:59,/cursos,200,59
07:36:00,/health,200,58
07:36:00,/cursos,200,58
07:36:00,/health,200,58
07:36:01,/cursos,200,60
07:36:01,/health,200,60
07:36:01,/cursos,200,62
07:36:02,/health,200,58
07:36:02,/cursos,200,62
07:36:03,/health,200,62
07:36:03,/cursos,200,60
07:36:04,/health,200,58
07:36:04,/cursos,200,63
07:36:05,/health,200,57
07:36:05,/cursos,200,60
07:36:05,/health,200,58
07:36:06,/cursos,200,61
07:36:06,/health,200,62
07:36:06,/cursos,200,62
07:36:07,/health,200,59
07:36:07,/cursos,200,63
07:36:08,/health,200,59
07:36:08,/cursos,200,60
07:36:09,/health,200,59
07:36:09,/cursos,200,60
07:36:10,/health,200,59
07:36:10,/cursos,200,60
07:36:10,/health,200,59
07:36:11,/cursos,200,60
07:36:11,/health,200,59
07:36:11,/cursos,200,61
07:36:12,/health,200,63
07:36:12,/cursos,200,66
07:36:13,/health,200,59
07:36:13,/cursos,200,60
07:36:14,/health,200,57
